dt      ,x        ,y        ,position ,velocity,acceleration,jerk       ,heading
0.050000,0.003441 ,22.303451,0.003750 ,0.150000,3.000000    ,60.000000  ,0.000769
0.050000,0.013977 ,22.303472,0.014286 ,0.210719,1.214386    ,-35.712279 ,0.003122
0.050000,0.031538 ,22.303561,0.031847 ,0.351230,2.810223    ,31.916732  ,0.007039
0.050000,0.056127 ,22.303801,0.056437 ,0.491792,2.811237    ,0.020279   ,0.012510
0.050000,0.087744 ,22.304308,0.088059 ,0.632432,2.812788    ,0.031019   ,0.019524
0.050000,0.126392 ,22.305228,0.126718 ,0.773182,2.815005    ,0.044351   ,0.028062
0.050000,0.172071 ,22.306740,0.172422 ,0.914085,2.818052    ,0.060949   ,0.038098
0.050000,0.224780 ,22.309053,0.225182 ,1.055191,2.822123    ,0.081409   ,0.049600
0.050000,0.284514 ,22.312406,0.285010 ,1.196562,2.827434    ,0.106228   ,0.062523
0.050000,0.351266 ,22.317065,0.351923 ,1.338273,2.834221    ,0.135728   ,0.076811
0.050000,0.425021 ,22.323321,0.425944 ,1.480410,2.842722    ,0.170027   ,0.092395
0.050000,0.505763 ,22.331489,0.507097 ,1.623068,2.853170    ,0.208963   ,0.109187
0.050000,0.593465 ,22.341901,0.595415 ,1.766357,2.865773    ,0.252049   ,0.127084
0.050000,0.688095 ,22.354905,0.690935 ,1.910391,2.880695    ,0.298439   ,0.145964
0.050000,0.789613 ,22.370859,0.793699 ,2.055293,2.898041    ,0.346922   ,0.165683
0.050000,0.897974 ,22.390124,0.903759 ,2.201185,2.917839    ,0.395960   ,0.186078
0.050000,1.013121 ,22.413058,1.021168 ,2.348187,2.940028    ,0.443781   ,0.206966
0.050000,1.134997 ,22.440010,1.145988 ,2.496409,2.964454    ,0.488519   ,0.228146
0.050000,1.263538 ,22.471314,1.278286 ,2.645953,2.990874    ,0.528400   ,0.249401
0.050000,1.398680 ,22.507274,1.418131 ,2.796902,3.018971    ,0.561947   ,0.270500
0.050000,1.540363 ,22.548167,1.565597 ,2.949321,3.048380    ,0.588186   ,0.291199
0.050000,1.688533 ,22.594224,1.720760 ,3.103257,3.078720    ,0.606803   ,0.311251
0.050000,1.843148 ,22.645631,1.883697 ,3.258738,3.109633    ,0.618245   ,0.330399
0.050000,2.004184 ,22.702518,2.054486 ,3.415779,3.140819    ,0.623731   ,0.348388
0.050000,2.171644 ,22.764951,2.233205 ,3.574383,3.172078    ,0.625175   ,0.364960
0.050000,2.345558 ,22.832930,2.419932 ,3.734550,3.203331    ,0.625052   ,0.379858
0.050000,2.525997 ,22.906375,2.614747 ,3.896282,3.234641    ,0.626200   ,0.392824
0.050000,2.713076 ,22.985127,2.817726 ,4.059593,3.266221    ,0.631614   ,0.403598
0.050000,2.906964 ,23.068936,3.028952 ,4.224514,3.298433    ,0.644228   ,0.411915
0.050000,3.107886 ,23.157451,3.248507 ,4.391103,3.331768    ,0.666706   ,0.417499
0.050000,3.316133 ,23.250212,3.476479 ,4.559444,3.366828    ,0.701202   ,0.420062
0.050000,3.532066 ,23.346634,3.712962 ,4.729658,3.404281    ,0.749064   ,0.419294
0.050000,3.756120 ,23.445988,3.958057 ,4.901898,3.444801    ,0.810386   ,0.414862
0.050000,3.988804 ,23.547385,4.211874 ,5.076347,3.488966    ,0.883304   ,0.406399
0.050000,4.230699 ,23.649743,4.474535 ,5.253202,3.537110    ,0.962888   ,0.393507
0.050000,4.482447 ,23.751759,4.746167 ,5.432656,3.589084    ,1.039473   ,0.375757
0.050000,4.744733 ,23.851871,5.026910 ,5.614851,3.643901    ,1.096348   ,0.352693
0.050000,5.018249 ,23.948223,5.316901 ,5.799814,3.699249    ,1.106950   ,0.323855
0.050000,5.303640 ,24.038628,5.616269 ,5.987357,3.750866    ,1.032349   ,0.288814
0.050000,5.601424 ,24.120551,5.925116 ,6.176953,3.791916    ,0.821003   ,0.247226
0.050000,5.908021 ,24.190341,6.239556 ,6.288787,2.236675    ,-31.104835 ,0.199544
0.050000,6.219264 ,24.244897,6.555544 ,6.319771,0.619680    ,-32.339884 ,0.146733
0.050000,6.534356 ,24.282392,6.872859 ,6.346305,0.530688    ,-1.779849  ,0.089529
0.050000,6.852135 ,24.301307,7.191201 ,6.366831,0.410511    ,-2.403546  ,0.028925
0.050000,7.156284 ,24.304638,7.495367 ,6.083329,-5.670033   ,-121.610864,0.014861
0.050000,7.449261 ,24.312484,7.788450 ,5.861653,-4.433515   ,24.730355  ,0.037636
0.050000,7.743796 ,24.326212,8.083305 ,5.897101,0.708946    ,102.849210 ,0.054580
0.050000,8.039707 ,24.344237,8.379764 ,5.929178,0.641542    ,-1.348073  ,0.066243
0.050000,8.336925 ,24.365083,8.677713 ,5.958973,0.595906    ,-0.912721  ,0.073002
0.050000,8.635470 ,24.387342,8.977086 ,5.987460,0.569744    ,-0.523246  ,0.075068
0.050000,8.935420 ,24.409632,9.277863 ,6.015543,0.561658    ,-0.161722  ,0.072506
0.050000,9.236900 ,24.430548,9.580068 ,6.044103,0.571196    ,0.190763   ,0.065237
0.050000,9.540064 ,24.448624,9.883770 ,6.074046,0.598856    ,0.553197   ,0.053030
0.050000,9.845076 ,24.462273,10.189088,6.106349,0.646069    ,0.944259   ,0.035494
0.050000,10.152091,24.469730,10.496193,6.142106,0.715132    ,1.381262   ,0.012056
0.050000,10.461218,24.468980,10.805321,6.182554,0.808974    ,1.876838   ,6.265123
0.050000,10.772467,24.457676,11.116775,6.229080,0.930504    ,2.430606   ,6.227316
0.050000,11.081892,24.433434,11.427148,6.207476,-0.432079   ,-27.251659 ,6.181188
0.050000,11.385000,24.394254,11.732778,6.112587,-1.897773   ,-29.313881 ,6.126452
0.050000,11.680609,24.338068,12.033679,6.018032,-1.891095   ,0.133564   ,6.062537
0.050000,11.967175,24.262924,12.329934,5.925091,-1.858815   ,0.645595   ,5.989170
0.050000,12.242532,24.167246,12.621440,5.830114,-1.899553   ,-0.814761  ,5.906683
0.050000,12.503913,24.050216,12.907824,5.727684,-2.048599   ,-2.980925  ,5.816309
0.050000,12.748184,23.912185,13.188397,5.611455,-2.324572   ,-5.519450  ,5.720337
0.050000,12.972327,23.754937,13.462197,5.476017,-2.708772   ,-7.683999  ,5.621956
0.050000,13.174046,23.581615,13.728151,5.319066,-3.139007   ,-8.604710  ,5.524739
0.050000,13.352253,23.396263,13.985275,5.142488,-3.531573   ,-7.851310  ,5.431943
0.050000,13.507195,23.203167,14.232850,4.951499,-3.819772   ,-5.763986  ,5.345954
0.050000,13.640230,23.006270,14.470477,4.752540,-3.979186   ,-3.188280  ,5.268085
0.050000,13.753413,22.808847,14.698043,4.551310,-4.024595   ,-0.908180  ,5.198705
0.050000,13.849094,22.613423,14.915633,4.351809,-3.990013   ,0.691642   ,5.137520
0.050000,13.929621,22.421844,15.123448,4.156301,-3.910167   ,1.596924   ,5.083863
0.050000,13.997178,22.235421,15.321735,3.965731,-3.811398   ,1.975378   ,5.036913
0.050000,14.053701,22.055059,15.510745,3.780218,-3.710262   ,2.022712   ,4.995831
0.050000,14.100871,21.881379,15.690717,3.599437,-3.615613   ,1.892989   ,4.959832
0.050000,14.140127,21.714798,15.861861,3.422873,-3.531287   ,1.686524   ,4.928219
0.050000,14.172688,21.555596,16.024359,3.249960,-3.458250   ,1.460733   ,4.900387
0.050000,14.199589,21.403956,16.178367,3.080160,-3.396010   ,1.244809   ,4.875823
0.050000,14.221708,21.259995,16.324016,2.912988,-3.343443   ,1.051339   ,4.854091
0.050000,14.239788,21.123789,16.461418,2.748026,-3.299241   ,0.884039   ,4.834827
0.050000,14.254466,20.995379,16.590664,2.584919,-3.262133   ,0.742160   ,4.817725
0.050000,14.266282,20.874788,16.711832,2.423370,-3.230976   ,0.623132   ,4.802526
0.050000,14.275700,20.762024,16.824989,2.263131,-3.204789   ,0.523746   ,4.789016
0.050000,14.283119,20.657086,16.930188,2.103994,-3.182745   ,0.440879   ,4.777013
