dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003083,14.732001,0.003704,0.148148,2.962963,59.259259,0.000780
0.050000,0.012456,14.732020,0.013077,0.187466,0.786354,-43.532184,0.003154
0.050000,0.028071,14.732100,0.028692,0.312299,2.496666,34.206250,0.007120
0.050000,0.049916,14.732316,0.050538,0.436921,2.492436,-0.084606,0.012694
0.050000,0.077975,14.732773,0.078601,0.561256,2.486694,-0.114842,0.019894
0.050000,0.112227,14.733606,0.112863,0.685237,2.479635,-0.141184,0.028745
0.050000,0.152644,14.734981,0.153303,0.808814,2.471529,-0.162112,0.039274
0.050000,0.199194,14.737095,0.199901,0.931951,2.462739,-0.175810,0.051511
0.050000,0.251835,14.740178,0.252633,1.054637,2.453732,-0.180127,0.065488
0.050000,0.310522,14.744490,0.311477,1.176893,2.445105,-0.172546,0.081232
0.050000,0.375198,14.750326,0.376416,1.298772,2.437594,-0.150220,0.098771
0.050000,0.445799,14.758011,0.447435,1.420377,2.432092,-0.110038,0.118122
0.050000,0.522255,14.767906,0.524528,1.541859,2.429652,-0.048801,0.139295
0.050000,0.604483,14.780399,0.607699,1.663433,2.431477,0.036509,0.162282
0.050000,0.692393,14.795911,0.696968,1.785378,2.438893,0.148317,0.187058
0.050000,0.785888,14.814894,0.792371,1.908043,2.453290,0.287932,0.213574
0.050000,0.884858,14.837825,0.893963,2.031844,2.476036,0.454915,0.241753
0.050000,0.989189,14.865204,1.001826,2.157262,2.508357,0.646425,0.271483
0.050000,1.098754,14.897552,1.116067,2.284822,2.551191,0.856689,0.302619
0.050000,1.213422,14.935406,1.236821,2.415073,2.605028,1.076741,0.334976
0.050000,1.333048,14.979308,1.364249,2.548561,2.669761,1.294644,0.368334
0.050000,1.457483,15.029801,1.498538,2.685790,2.744577,1.496328,0.402437
0.050000,1.586566,15.087421,1.639897,2.827186,2.827929,1.667051,0.437000
0.050000,1.720128,15.152682,1.788551,2.973066,2.917596,1.793337,0.471717
0.050000,1.857993,15.226069,1.944731,3.123609,3.010848,1.865034,0.506271
0.050000,1.999979,15.308026,2.108673,3.278844,3.104700,1.877029,0.540340
0.050000,2.145907,15.398944,2.280606,3.438654,3.196209,1.830197,0.573613
0.050000,2.292893,15.497283,2.457455,3.536979,1.966492,-24.594345,0.605230
0.050000,2.438197,15.601038,2.636000,3.570893,0.678286,-25.764123,0.634532
0.050000,2.581862,15.709856,2.816225,3.604499,0.672122,-0.123277,0.661540
0.050000,2.723951,15.823383,2.998097,3.637452,0.659055,-0.261345,0.686298
0.050000,2.864543,15.941269,3.181573,3.669512,0.641196,-0.357186,0.708867
0.050000,3.003735,16.063172,3.366599,3.700529,0.620344,-0.417026,0.729318
0.050000,3.141638,16.188762,3.553121,3.730428,0.597974,-0.447408,0.747728
0.050000,3.278379,16.317722,3.741080,3.759190,0.575248,-0.454512,0.764174
0.050000,3.414097,16.449749,3.930422,3.786843,0.553059,-0.443789,0.778731
0.050000,3.560606,16.594644,4.136479,4.121133,6.685799,122.654808,0.770341
0.050000,3.722833,16.747255,4.359207,4.454555,6.668452,-0.346953,0.739280
0.050000,3.890147,16.895026,4.582434,4.464550,0.199897,-129.371096,0.707536
0.050000,4.062432,17.037630,4.806081,4.472945,0.167885,-0.640228,0.675217
0.050000,4.239527,17.174752,5.030057,4.479502,0.131153,-0.734641,0.642451
