dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.004224,13.268002,0.003704,0.148148,2.962963,59.259259,0.000780
0.050000,0.017073,13.268027,0.016553,0.256979,2.176607,-15.727117,0.003154
0.050000,0.038495,13.268137,0.037975,0.428441,3.429252,25.052898,0.007120
0.050000,0.068499,13.268434,0.067980,0.600115,3.433473,0.084416,0.012694
0.050000,0.107098,13.269063,0.106584,0.772075,3.439201,0.114570,0.019894
0.050000,0.154303,13.270211,0.153804,0.944387,3.446243,0.140824,0.028745
0.050000,0.210126,13.272110,0.209659,1.117103,3.454325,0.161656,0.039274
0.050000,0.274573,13.275037,0.274172,1.290258,3.463088,0.175254,0.051511
0.050000,0.347641,13.279316,0.347365,1.463861,3.472061,0.179461,0.065488
0.050000,0.429315,13.285317,0.429259,1.637893,3.480650,0.171769,0.081232
0.050000,0.519563,13.293461,0.519874,1.812299,3.488116,0.149330,0.098771
0.050000,0.618329,13.304213,0.619223,1.986977,3.493568,0.109042,0.118122
0.050000,0.725523,13.318086,0.727312,2.161775,3.495954,0.047713,0.139295
0.050000,0.841022,13.335634,0.844136,2.336479,3.494071,-0.037660,0.162282
0.050000,0.964652,13.357450,0.969676,2.510808,3.486596,-0.149490,0.187058
0.050000,1.096189,13.384157,1.103897,2.684416,3.472143,-0.289067,0.213574
0.050000,1.235347,13.416398,1.246741,2.856883,3.449346,-0.455932,0.241753
0.050000,1.381776,13.454824,1.398128,3.027732,3.416985,-0.647233,0.271483
0.050000,1.535057,13.500078,1.557950,3.196438,3.374126,-0.857183,0.302619
0.050000,1.694706,13.552778,1.726072,3.362453,3.320285,-1.076817,0.334976
0.050000,1.860178,13.613500,1.902334,3.525231,3.255574,-1.294214,0.368334
0.050000,2.030876,13.682761,2.086547,3.684272,3.180807,-1.495333,0.402437
0.050000,2.206165,13.761000,2.278505,3.839148,3.097534,-1.665475,0.437000
0.050000,2.385394,13.848567,2.477982,3.989547,3.007973,-1.791220,0.471717
0.050000,2.567915,13.945715,2.684747,4.135289,2.914849,-1.862471,0.506271
0.050000,2.753102,14.052597,2.898564,4.276346,2.821141,-1.874161,0.540340
0.050000,2.940376,14.169263,3.119206,4.412836,2.729781,-1.827196,0.573613
0.050000,3.125838,14.293332,3.342340,4.462688,0.997051,-34.654609,0.605230
0.050000,3.306057,14.422007,3.563781,4.428821,-0.677345,-33.487922,0.634532
0.050000,3.481245,14.554690,3.783544,4.395258,-0.671261,0.121695,0.661540
0.050000,3.651654,14.690836,4.001661,4.362344,-0.658278,0.259647,0.686298
0.050000,3.817569,14.829946,4.218177,4.330319,-0.640505,0.355470,0.708867
0.050000,3.979287,14.971571,4.433144,4.299332,-0.619737,0.415361,0.729318
0.050000,4.137121,15.115305,4.646617,4.269459,-0.597445,0.445838,0.747728
0.050000,4.291380,15.260781,4.858653,4.240720,-0.574792,0.453061,0.764174
0.050000,4.442376,15.407666,5.069307,4.213086,-0.552669,0.442467,0.778731
0.050000,4.580106,15.543970,5.263081,3.875473,-6.752261,-123.991846,0.770341
0.050000,4.709212,15.665426,5.440337,3.545123,-6.607009,2.905026,0.739280
0.050000,4.841693,15.782436,5.617093,3.535114,-0.200183,128.136531,0.707536
0.050000,4.977530,15.894874,5.793428,3.526707,-0.168130,0.641049,0.675217
0.050000,5.116696,16.002630,5.969435,3.520140,-0.131348,0.735653,0.642451
0.050000,5.259152,16.105612,6.145216,3.515620,-0.090392,0.819119,0.609376
0.050000,5.404849,16.203749,6.320882,3.513317,-0.046058,0.886686,0.576143
0.050000,5.553729,16.296990,6.496549,3.513350,0.000653,0.934215,0.542913
0.050000,5.705724,16.385304,6.672338,3.515779,0.048585,0.958646,0.509849
0.050000,5.860755,16.468683,6.848368,3.520605,0.096504,0.958366,0.477114
0.050000,6.018734,16.547138,7.024757,3.527763,0.143174,0.933409,0.444868
0.050000,6.179565,16.620703,7.201613,3.537136,0.187447,0.885456,0.413262
0.050000,6.343140,16.689432,7.379041,3.548552,0.228329,0.817634,0.382435
0.050000,6.509347,16.753398,7.557131,3.561804,0.265037,0.734158,0.352512
0.050000,6.678063,16.812692,7.735964,3.576655,0.297030,0.639860,0.323604
0.050000,6.849165,16.867424,7.915607,3.592856,0.324015,0.539716,0.295801
0.050000,7.022524,16.917721,8.096114,3.610153,0.345936,0.438417,0.269180
0.050000,7.198010,16.963723,8.277529,3.628300,0.362938,0.340041,0.243797
0.050000,7.375493,17.005584,8.459883,3.647066,0.375331,0.247848,0.219696
0.050000,7.554847,17.043471,8.643195,3.666243,0.383541,0.164207,0.196903
0.050000,7.735949,17.077559,8.827477,3.685647,0.388072,0.090611,0.175436
0.050000,7.918682,17.108033,9.012733,3.705120,0.389461,0.027782,0.155298
0.050000,8.102933,17.135084,9.198960,3.724533,0.388251,-0.024197,0.136486
0.050000,8.288600,17.158909,9.386149,3.743781,0.384965,-0.065727,0.118988
0.050000,8.473890,17.179532,9.572583,3.728680,-0.302017,-13.739631,0.102928
0.050000,8.655188,17.196921,9.754713,3.642594,-1.721720,-28.394065,0.088518
0.050000,8.830528,17.211339,9.930645,3.518650,-2.478870,-15.142996,0.075760
0.050000,8.999740,17.223211,10.100272,3.392545,-2.522114,-0.864881,0.064508
0.050000,9.162671,17.232916,10.263493,3.264412,-2.562661,-0.810942,0.054623
0.050000,9.319193,17.240784,10.420212,3.134387,-2.600488,-0.756529,0.045975
0.050000,9.469190,17.247110,10.570343,3.002605,-2.635655,-0.703356,0.038445
0.050000,9.612561,17.252149,10.713802,2.869191,-2.668278,-0.652444,0.031921
0.050000,9.749217,17.256122,10.850515,2.734266,-2.698494,-0.604323,0.026300
0.050000,9.879077,17.259220,10.980413,2.597943,-2.726453,-0.559190,0.021487
0.050000,10.002070,17.261606,11.103429,2.460328,-2.752304,-0.517016,0.017394
0.050000,10.118132,17.263421,11.219505,2.321519,-2.776186,-0.477636,0.013938
0.050000,10.227204,17.264780,11.328585,2.181608,-2.798226,-0.440801,0.011045
0.050000,10.329233,17.265782,11.430619,2.040681,-2.818537,-0.406219,0.008645
0.050000,10.424171,17.266508,11.525560,1.898820,-2.837216,-0.373589,0.006675
0.050000,10.511975,17.267022,11.613365,1.756102,-2.854347,-0.342613,0.005075
0.050000,10.592604,17.267378,11.693996,1.612603,-2.869998,-0.313011,0.003793
0.050000,10.666023,17.267619,11.767415,1.468391,-2.884224,-0.284528,0.002780
0.050000,10.732200,17.267776,11.833592,1.323538,-2.897071,-0.256938,0.001992
0.050000,10.791105,17.267875,11.892498,1.178109,-2.908573,-0.230044,0.001390
0.050000,10.842714,17.267935,11.944106,1.032171,-2.918757,-0.203682,0.000939
0.050000,10.887003,17.267969,11.988396,0.885789,-2.927643,-0.177713,0.000608
0.050000,10.923955,17.267987,12.025347,0.739027,-2.935244,-0.152027,0.000372
0.050000,10.953552,17.267995,12.054944,0.591948,-2.941571,-0.126537,0.000209
0.050000,10.975783,17.267999,12.077175,0.444617,-2.946630,-0.101179,0.000102
0.050000,10.990638,17.268000,12.092030,0.297096,-2.950425,-0.075904,0.000038
0.050000,10.998110,17.268000,12.099502,0.149448,-2.952959,-0.050679,0.000007
0.050000,11.000000,17.268000,12.101392,0.037799,-2.232968,14.399812,6.283185
0.050000,11.000000,17.268000,12.101392,0.000000,-0.755987,29.539634,6.283185
