dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.004922,14.999997,0.003750,0.150000,3.000000,60.000000,6.281954
0.050000,0.019948,14.999950,0.018776,0.300526,3.010512,0.210244,6.278177
0.050000,0.045062,14.999745,0.043891,0.502298,4.035446,20.498684,6.271812
0.050000,0.080369,14.999183,0.079203,0.706239,4.078821,0.867502,6.262750
0.050000,0.126018,14.997979,0.124867,0.913286,4.140938,1.242323,6.250836
0.050000,0.182195,14.995742,0.181089,1.124439,4.223058,1.642409,6.235863
0.050000,0.249127,14.991961,0.248128,1.340767,4.326561,2.070069,6.217574
0.050000,0.327068,14.985985,0.326298,1.563398,4.452627,2.521312,6.195653
0.050000,0.416290,14.976995,0.415972,1.793482,4.601676,2.980980,6.169726
0.050000,0.517057,14.963969,0.517577,2.032103,4.772421,3.414908,6.139367
0.050000,0.629582,14.945654,0.631583,2.280120,4.960340,3.758375,6.104105
0.050000,0.753965,14.920533,0.758477,2.537889,5.155375,3.900688,6.063452
0.050000,0.890091,14.886808,0.898719,2.804830,5.338826,3.669028,6.016948
0.050000,1.037496,14.842426,1.052660,3.078824,5.479868,2.820833,5.964239
0.050000,1.195193,14.785156,1.220434,3.355481,5.533153,1.065699,5.905190
0.050000,1.361501,14.712777,1.401810,3.627510,5.440580,-1.851462,5.840033
0.050000,1.533926,14.623365,1.596039,3.884586,5.141527,-5.981049,5.769513
0.050000,1.709197,14.515667,1.801754,4.114297,4.594213,-10.946275,5.695000
0.050000,1.883530,14.389457,2.016977,4.304468,3.803415,-15.815975,5.618475
0.050000,2.053128,14.245711,2.239297,4.446400,2.838646,-19.295372,5.542351
0.050000,2.214760,14.086497,2.466176,4.537584,1.823677,-20.299374,5.469171
0.050000,2.366227,13.914591,2.695292,4.582310,0.894520,-18.583145,5.401261
0.050000,2.506537,13.732993,2.924780,4.589759,0.148983,-14.910740,5.340488
0.050000,2.635808,13.544534,3.153314,4.570685,-0.381483,-10.609313,5.288178
0.050000,2.754991,13.351671,3.380031,4.534340,-0.726901,-6.908377,5.245193
0.050000,2.865569,13.156486,3.604362,4.486624,-0.954319,-4.548354,5.212102
0.050000,2.969309,12.960813,3.825835,4.429455,-1.143384,-3.781287,5.189374
0.050000,3.068089,12.766430,4.043877,4.360831,-1.372471,-4.581759,5.177581
0.050000,3.163781,12.575293,4.257630,4.275059,-1.715448,-6.859525,5.177578
0.050000,3.258147,12.389770,4.465773,4.162866,-2.243864,-10.568334,5.190684
0.050000,3.352706,12.212882,4.666349,4.011520,-3.026923,-15.661180,5.218851
0.050000,3.448504,12.048471,4.856634,3.805711,-4.116180,-21.785128,5.264799
0.050000,3.545793,11.901127,5.033199,3.531299,-5.488238,-27.441170,5.331951
0.050000,3.643776,11.775506,5.192514,3.186290,-6.900179,-28.238813,5.423830
0.050000,3.762687,11.652263,5.363771,3.425145,4.777102,233.545624,5.511162
0.050000,3.927959,11.497612,5.590114,4.526866,22.034427,345.146494,5.551054
0.050000,4.103272,11.346595,5.821504,4.627789,2.018455,-400.319441,5.593397
0.050000,4.289073,11.200128,6.058093,4.731786,2.079934,1.229588,5.638038
0.050000,4.485806,11.059122,6.300139,4.840929,2.182866,2.058639,5.684720
0.050000,4.693912,10.924463,6.548013,4.957471,2.330840,2.959484,5.733072
0.050000,4.911067,10.798503,6.799056,5.020851,1.267609,-21.264632,5.782004
0.050000,5.134601,10.683004,7.050665,5.032187,0.226704,-20.818093,5.830370
0.050000,5.364400,10.577879,7.303368,5.054059,0.437455,4.215019,5.877644
0.050000,5.598442,10.483667,7.555661,5.045856,-0.164075,-12.030601,5.922987
0.050000,5.833332,10.400910,7.804703,4.980838,-1.300355,-22.725606,5.965492
0.050000,6.067323,10.329083,8.049470,4.895347,-1.709808,-8.189052,6.004775
0.050000,6.299775,10.267198,8.290019,4.810980,-1.687357,0.449008,6.040778
0.050000,6.530075,10.214292,8.526317,4.725966,-1.700263,-0.258112,6.073535
0.050000,6.757644,10.169431,8.758266,4.638978,-1.739772,-0.790180,6.103143
0.050000,6.981951,10.131725,8.985720,4.549087,-1.797807,-1.160693,6.129748
0.050000,7.202514,10.100336,9.208506,4.455710,-1.867549,-1.394845,6.153522
0.050000,7.418901,10.074480,9.426432,4.358529,-1.943628,-1.521574,6.174657
0.050000,7.630730,10.053435,9.639304,4.257426,-2.022053,-1.568508,6.193349
0.050000,7.837663,10.036539,9.846925,4.152425,-2.100023,-1.559401,6.209791
0.050000,8.039403,10.023190,10.049107,4.043640,-2.175687,-1.513270,6.224172
0.050000,8.235693,10.012847,10.245669,3.931245,-2.247914,-1.444538,6.236674
0.050000,8.426305,10.005026,10.436441,3.815440,-2.316097,-1.363662,6.247467
0.050000,8.611038,9.999298,10.621263,3.696440,-2.379992,-1.277899,6.256710
