dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003335,23.000001,0.003750,0.150000,3.000000,60.000000,0.000333
0.050000,0.013565,23.000009,0.013980,0.204591,1.091813,-38.163743,0.001354
0.050000,0.030620,23.000047,0.031034,0.341093,2.730052,32.764785,0.003049
0.050000,0.054507,23.000148,0.054922,0.477760,2.733337,0.065707,0.005411
0.050000,0.085240,23.000361,0.085655,0.614659,2.737976,0.092776,0.008428
0.050000,0.122831,23.000746,0.123248,0.751859,2.744006,0.120594,0.012085
0.050000,0.167298,23.001379,0.167720,0.889433,2.751472,0.149323,0.016363
0.050000,0.218661,23.002345,0.219092,1.027454,2.760426,0.179086,0.021241
0.050000,0.276945,23.003743,0.277392,1.166000,2.770924,0.209960,0.026691
0.050000,0.342173,23.005680,0.342650,1.305152,2.783023,0.241972,0.032683
0.050000,0.414376,23.008277,0.414900,1.444990,2.796777,0.275090,0.039183
0.050000,0.493584,23.011660,0.494180,1.585602,2.812239,0.309228,0.046153
0.050000,0.579831,23.015964,0.580533,1.727075,2.829451,0.344237,0.053549
0.050000,0.673151,23.021332,0.674008,1.869497,2.848446,0.379915,0.061324
0.050000,0.773584,23.027909,0.774656,2.012960,2.869247,0.416011,0.069426
0.050000,0.881169,23.035846,0.882534,2.157552,2.891859,0.452234,0.077798
0.050000,0.995949,23.045293,0.997702,2.303366,2.916272,0.488270,0.086379
0.050000,1.117969,23.056400,1.120227,2.450489,2.942462,0.523795,0.095104
0.050000,1.247277,23.069314,1.250177,2.599009,2.970387,0.558500,0.103903
0.050000,1.383921,23.084178,1.387627,2.749008,2.999992,0.592108,0.112703
0.050000,1.527956,23.101123,1.532656,2.900569,3.031212,0.624399,0.121424
0.050000,1.679439,23.120274,1.685344,3.053767,3.063974,0.655231,0.129985
0.050000,1.838430,23.141740,1.845778,3.208678,3.098202,0.684560,0.138301
0.050000,2.004996,23.165613,2.014047,3.365369,3.133825,0.712454,0.146282
0.050000,2.179210,23.191965,2.190242,3.523908,3.170780,0.739101,0.153836
0.050000,2.361150,23.220846,2.374460,3.684359,3.209021,0.764817,0.160868
0.050000,2.550904,23.252277,2.566799,3.846785,3.248522,0.790032,0.167278
0.050000,2.748568,23.286250,2.767362,4.011249,3.289286,0.815284,0.172965
0.050000,2.954251,23.322719,2.976252,4.177817,3.331346,0.841187,0.177824
0.050000,3.168072,23.361601,3.193580,4.346555,3.374766,0.868400,0.181746
0.050000,3.390165,23.402770,3.419457,4.517537,3.419644,0.897577,0.184619
0.050000,3.620680,23.446047,3.653999,4.690843,3.466110,0.929302,0.186327
0.050000,3.859782,23.491201,3.897327,4.866558,3.514310,0.964009,0.186749
0.050000,4.107652,23.537940,4.149566,5.044778,3.564404,1.001877,0.185760
0.050000,4.364492,23.585905,4.410846,5.225605,3.616539,1.042694,0.183230
0.050000,4.630519,23.634660,4.681304,5.409146,3.670823,1.085683,0.179023
0.050000,4.905965,23.683688,4.961079,5.595511,3.727287,1.129285,0.172997
0.050000,5.191077,23.732380,5.250319,5.784802,3.785831,1.170885,0.165006
0.050000,5.486110,23.780025,5.549175,5.977110,3.846155,1.206478,0.154899
0.050000,5.791321,23.825801,5.857799,6.172493,3.907670,1.230292,0.142522
0.050000,6.103045,23.868264,6.172402,6.292050,2.391137,-30.330662,0.127917
0.050000,6.417458,23.906092,6.489082,6.333607,0.831126,-31.200208,0.111233
0.050000,6.734543,23.938554,6.807824,6.374842,0.824712,-0.128281,0.092486
0.050000,7.054233,23.964909,7.128599,6.415499,0.813143,-0.231387,0.071705
0.050000,7.376406,23.984415,7.451362,6.455250,0.795021,-0.362440,0.048936
0.050000,7.700872,23.996340,7.776047,6.493698,0.768961,-0.521188,0.024243
0.050000,8.019735,24.000052,8.094932,6.377704,-2.319883,-61.776891,0.005274
0.050000,8.265091,24.008421,8.340430,4.909968,-29.354728,-540.696896,0.059746
0.050000,8.523769,24.029468,8.599964,5.190664,5.613925,699.373052,0.100195
0.050000,8.792989,24.060740,8.870993,5.420597,4.598654,-20.305406,0.129156
