dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.004002,21.000001,0.003750,0.150000,3.000000,60.000000,0.000333
0.050000,0.016273,21.000011,0.016020,0.245409,1.908187,-21.836265,0.001354
0.050000,0.036718,21.000056,0.036466,0.408907,3.269947,27.235195,0.003049
0.050000,0.065330,21.000177,0.065078,0.572240,3.266659,-0.065740,0.005411
0.050000,0.102096,21.000432,0.101845,0.735341,3.262018,-0.092821,0.008428
0.050000,0.147000,21.000892,0.146752,0.898140,3.255986,-0.120650,0.012085
0.050000,0.200023,21.001647,0.199780,1.060566,3.248517,-0.149387,0.016363
0.050000,0.261140,21.002796,0.260907,1.222544,3.239559,-0.179156,0.021241
0.050000,0.330320,21.004455,0.330107,1.383996,3.229057,-0.210033,0.026691
0.050000,0.407528,21.006748,0.407349,1.544844,3.216955,-0.242045,0.032683
0.050000,0.492723,21.009812,0.492600,1.705004,3.203197,-0.275160,0.039183
0.050000,0.585857,21.013789,0.585819,1.864391,3.187732,-0.309290,0.046153
0.050000,0.686878,21.018831,0.686965,2.022917,3.170518,-0.344288,0.053549
0.050000,0.795722,21.025091,0.795989,2.180493,3.151520,-0.379951,0.061324
0.050000,0.912324,21.032727,0.912841,2.337029,3.130719,-0.416028,0.069426
0.050000,1.036608,21.041896,1.037463,2.492434,3.108108,-0.452229,0.077798
0.050000,1.168493,21.052750,1.169794,2.646619,3.083696,-0.488240,0.086379
0.050000,1.307891,21.065438,1.309768,2.799494,3.057509,-0.523738,0.095104
0.050000,1.454710,21.080101,1.457317,2.950974,3.029588,-0.558415,0.103903
0.050000,1.608849,21.096866,1.612366,3.100973,2.999988,-0.591994,0.112703
0.050000,1.770207,21.115849,1.774836,3.249412,2.968775,-0.624259,0.121424
0.050000,1.938677,21.137147,1.944647,3.396213,2.936022,-0.655067,0.129985
0.050000,2.114150,21.160837,2.121712,3.541303,2.901803,-0.684377,0.138301
0.050000,2.296517,21.186973,2.305943,3.684612,2.866190,-0.712259,0.146282
0.050000,2.485670,21.215584,2.497246,3.826075,2.829245,-0.738902,0.153836
0.050000,2.681499,21.246669,2.695528,3.965625,2.791014,-0.764624,0.160868
0.050000,2.883901,21.280194,2.900688,4.103201,2.751521,-0.789859,0.167278
0.050000,3.092776,21.316092,3.112625,4.238740,2.710764,-0.815146,0.172965
0.050000,3.308028,21.354257,3.331233,4.372175,2.668708,-0.841101,0.177824
0.050000,3.529567,21.394542,3.556405,4.503440,2.625289,-0.868388,0.181746
0.050000,3.757310,21.436757,3.788028,4.632460,2.580406,-0.897662,0.184619
0.050000,3.991182,21.480664,4.025986,4.759156,2.533930,-0.929513,0.186327
0.050000,4.231113,21.525975,4.270158,4.883442,2.485711,-0.964378,0.186749
0.050000,4.477040,21.572348,4.520419,5.005221,2.435589,-1.002443,0.185760
0.050000,4.728905,21.619384,4.776639,5.124392,2.383414,-1.043500,0.183230
0.050000,4.986655,21.666623,5.038681,5.240846,2.329075,-1.086780,0.179023
0.050000,5.250235,21.713541,5.306405,5.354473,2.272539,-1.130732,0.172997
0.050000,5.519593,21.759545,5.579663,5.465168,2.213901,-1.172746,0.165006
0.050000,5.794671,21.803970,5.858305,5.572841,2.153460,-1.208823,0.154899
0.050000,6.075402,21.846079,6.142177,5.677431,2.091801,-1.233191,0.142522
0.050000,6.358182,21.884604,6.427569,5.707843,0.608243,-29.671157,0.127917
