dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003965,5.731999,0.003704,0.148148,2.962963,59.259259,6.282700
0.050000,0.016169,5.731984,0.015908,0.244082,1.918669,-20.885870,6.281207
0.050000,0.036505,5.731918,0.036245,0.406736,3.253082,26.688245,6.278723
0.050000,0.064969,5.731742,0.064709,0.569287,3.251029,-0.041063,6.275255
0.050000,0.101552,5.731371,0.101293,0.731691,3.248068,-0.059202,6.270813
0.050000,0.146242,5.730697,0.145988,0.893896,3.244118,-0.079014,6.265412
0.050000,0.199022,5.729591,0.198781,1.055850,3.239072,-0.100910,6.259067
0.050000,0.259874,5.727902,0.259655,1.217491,3.232810,-0.125251,6.251800
0.050000,0.328768,5.725457,0.328593,1.378750,3.225193,-0.152328,6.243638
0.050000,0.405671,5.722066,0.405571,1.539554,3.216076,-0.182347,6.234611
0.050000,0.490540,5.717520,0.490561,1.699819,3.205306,-0.215406,6.224757
0.050000,0.583324,5.711596,0.583534,1.859456,3.192731,-0.251483,6.214117
0.050000,0.683960,5.704057,0.684453,2.018366,3.178211,-0.290414,6.202743
0.050000,0.792376,5.694657,0.793275,2.176447,3.161616,-0.331886,6.190689
0.050000,0.908486,5.683142,0.909954,2.333589,3.142845,-0.375432,6.178021
0.050000,1.032193,5.669254,1.034438,2.489681,3.121823,-0.420432,6.164811
0.050000,1.163387,5.652736,1.166669,2.644606,3.098517,-0.466134,6.151137
0.050000,1.301948,5.633336,1.306581,2.798253,3.072933,-0.511680,6.137088
0.050000,1.447744,5.610808,1.454107,2.950509,3.045125,-0.556154,6.122758
0.050000,1.600631,5.584921,1.609170,3.101269,3.015193,-0.598630,6.108249
0.050000,1.760460,5.555460,1.771692,3.250433,2.983281,-0.638241,6.093671
0.050000,1.927075,5.522233,1.941588,3.397912,2.949569,-0.674249,6.079138
0.050000,2.100315,5.485073,2.118769,3.543625,2.914263,-0.706111,6.064772
0.050000,2.280022,5.443843,2.303144,3.687504,2.877586,-0.733538,6.050697
0.050000,2.466036,5.398441,2.494619,3.829492,2.839759,-0.756544,6.037043
0.050000,2.658205,5.348802,2.693096,3.969541,2.800986,-0.775469,6.023943
0.050000,2.856387,5.294903,2.898476,4.107613,2.761436,-0.790989,6.011531
0.050000,3.056754,5.237839,3.106811,4.166690,1.181532,-31.598091,6.000143
0.050000,3.255607,5.178888,3.314218,4.148149,-0.370810,-31.046830,5.990023
0.050000,3.453010,5.118322,3.520703,4.129691,-0.369172,0.032757,5.981163
0.050000,3.649031,5.056411,3.726269,4.111328,-0.367252,0.038389,5.973558
0.050000,3.843747,4.993413,3.930922,4.093066,-0.365247,0.040103,5.967201
0.050000,4.037236,4.929584,4.134667,4.074900,-0.363321,0.038528,5.962084
0.050000,4.229578,4.865172,4.337508,4.056819,-0.361608,0.034267,5.958203
0.050000,4.420856,4.800421,4.539449,4.038809,-0.360213,0.027893,5.955552
0.050000,4.611152,4.735570,4.740491,4.020848,-0.359216,0.019946,5.954128
0.050000,4.800546,4.670855,4.940637,4.002914,-0.358668,0.010942,5.953929
0.050000,4.989119,4.606507,5.139886,3.984984,-0.358600,0.001375,5.954955
0.050000,5.176946,4.542757,5.338238,3.967034,-0.359013,-0.008271,5.957206
0.050000,5.364103,4.479832,5.535690,3.949039,-0.359889,-0.017514,5.960687
0.050000,5.550659,4.417958,5.732239,3.930980,-0.361182,-0.025865,5.965401
0.050000,5.736680,4.357361,5.927881,3.912839,-0.362823,-0.032814,5.971354
0.050000,5.922227,4.298265,6.122611,3.894603,-0.364714,-0.037831,5.978553
0.050000,6.107354,4.240894,6.316424,3.876267,-0.366732,-0.040351,5.987004
0.050000,6.292112,4.185471,6.509316,3.857831,-0.368721,-0.039781,5.996714
0.050000,6.476543,4.132219,6.701281,3.839306,-0.370496,-0.035498,6.007689
0.050000,6.660684,4.081358,6.892317,3.820714,-0.371839,-0.026860,6.019934
