dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003254,4.267999,0.003704,0.148148,2.962963,59.259259,6.282700
0.050000,0.013272,4.267987,0.013722,0.200363,1.044293,-38.373406,6.281207
0.050000,0.029972,4.267933,0.030422,0.334005,2.672841,32.570971,6.278723
0.050000,0.053359,4.267788,0.053810,0.467749,2.674891,0.040991,6.275255
0.050000,0.083440,4.267483,0.083892,0.601642,2.677846,0.059104,6.270813
0.050000,0.120222,4.266928,0.120678,0.735731,2.681790,0.078890,6.265412
0.050000,0.163716,4.266017,0.164182,0.870073,2.686829,0.100764,6.259067
0.050000,0.213933,4.264623,0.214418,1.004727,2.693083,0.125087,6.251800
0.050000,0.270885,4.262601,0.271406,1.139761,2.700691,0.152151,6.243638
0.050000,0.334586,4.259792,0.335169,1.275251,2.709799,0.182162,6.234611
0.050000,0.405049,4.256018,0.405733,1.411279,2.720560,0.215220,6.224757
0.050000,0.482288,4.251086,0.483130,1.547935,2.733125,0.251303,6.214117
0.050000,0.566319,4.244791,0.567395,1.685317,2.747637,0.290249,6.202743
0.050000,0.657155,4.236915,0.658572,1.823529,2.764225,0.331746,6.190689
0.050000,0.754809,4.227230,0.756706,1.962678,2.782991,0.375325,6.178021
0.050000,0.859297,4.215499,0.861850,2.102879,2.804009,0.420370,6.164811
0.050000,0.970630,4.201481,0.974062,2.244244,2.827315,0.466125,6.151137
0.050000,1.088821,4.184932,1.093406,2.386889,2.852902,0.511733,6.137088
0.050000,1.213883,4.165607,1.219953,2.530925,2.880716,0.556275,6.122758
0.050000,1.345828,4.143265,1.353776,2.676458,2.910657,0.598823,6.108249
0.050000,1.484668,4.117672,1.494955,2.823587,2.942582,0.638507,6.093671
0.050000,1.630418,4.088604,1.643575,2.972403,2.976312,0.674585,6.079138
0.050000,1.783094,4.055854,1.799724,3.122985,3.011637,0.706511,6.064772
0.050000,1.942717,4.019230,1.963494,3.275401,3.048337,0.733991,6.050697
0.050000,2.109311,3.978567,2.134980,3.429711,3.086188,0.757034,6.037043
0.050000,2.282911,3.933723,2.314278,3.585960,3.124987,0.775979,6.023943
0.050000,2.463558,3.884590,2.501487,3.744188,3.164562,0.791496,6.011531
0.050000,2.647891,3.832091,2.693151,3.833267,1.781575,-27.659747,6.000143
0.050000,2.832538,3.777350,2.885741,3.851817,0.370991,-28.211667,5.990023
0.050000,3.017541,3.720588,3.079256,3.870283,0.369332,-0.033198,5.981163
0.050000,3.202945,3.662028,3.273688,3.888653,0.367390,-0.038827,5.973558
0.050000,3.388805,3.601895,3.469034,3.906921,0.365363,-0.040535,5.967201
0.050000,3.575180,3.540411,3.665289,3.925092,0.363416,-0.038952,5.962084
0.050000,3.762134,3.477803,3.862448,3.943176,0.361682,-0.034684,5.958203
0.050000,3.949736,3.414296,4.060507,3.961189,0.360266,-0.028303,5.955552
0.050000,4.138058,3.350118,4.259465,3.979152,0.359249,-0.020351,5.954128
0.050000,4.327177,3.285496,4.459319,3.997086,0.358682,-0.011344,5.953929
0.050000,4.517171,3.220664,4.660070,4.015015,0.358593,-0.001775,5.954955
0.050000,4.708120,3.155854,4.861718,4.032965,0.358986,0.007870,5.957206
0.050000,4.900107,3.091306,5.064266,4.050957,0.359842,0.017111,5.960687
0.050000,5.093214,3.027260,5.267716,4.069012,0.361115,0.025456,5.965401
0.050000,5.287523,2.963965,5.472074,4.087149,0.362735,0.032400,5.971354
0.050000,5.483111,2.901672,5.677343,4.105379,0.364605,0.037409,5.978553
0.050000,5.680057,2.840639,5.883528,4.123710,0.366601,0.039922,5.987004
0.050000,5.878431,2.781133,6.090635,4.142138,0.368569,0.039345,5.996714
0.050000,6.078299,2.723426,6.298668,4.160654,0.370321,0.035057,6.007689
0.050000,6.279720,2.667795,6.507630,4.179236,0.371642,0.026418,6.019934
0.050000,6.482740,2.614526,6.717522,4.197850,0.372282,0.012787,6.033450
0.050000,6.687397,2.563913,6.928345,4.216448,0.371959,-0.006450,6.048238
0.050000,6.893712,2.516254,7.140093,4.234967,0.370367,-0.031840,6.064290
0.050000,7.101692,2.471851,7.352759,4.253325,0.367176,-0.063818,6.081598
0.050000,7.311322,2.431011,7.566331,4.271428,0.362044,-0.102645,6.100142
0.050000,7.522569,2.394040,7.780789,4.289159,0.354627,-0.148337,6.119898
0.050000,7.735376,2.361244,7.996108,4.306389,0.344597,-0.200601,6.140832
0.050000,7.949661,2.332922,8.212257,4.322972,0.331659,-0.258760,6.162899
0.050000,8.165316,2.309367,8.429194,4.338750,0.315574,-0.321704,6.186044
0.050000,8.382206,2.290857,8.646872,4.353560,0.296181,-0.387862,6.210201
0.050000,8.600168,2.277653,8.865234,4.367231,0.273420,-0.455210,6.235293
0.050000,8.819013,2.269993,9.084214,4.379598,0.247354,-0.521329,6.261230
0.050000,9.034887,2.267997,9.300097,4.317658,-1.238803,-29.723142,6.283038
0.050000,9.235178,2.267972,9.500387,4.005819,-6.236778,-99.959498,0.000250
0.050000,9.437023,2.268241,9.702232,4.036898,0.621575,137.167058,0.002770
0.050000,9.640447,2.269245,9.905659,4.068524,0.632525,0.218995,0.007451
0.050000,9.845494,2.271443,10.110717,4.101175,0.653019,0.409888,0.014362
